ENTRY_PLATE,total_stays,centric_stays,duration,morn_stays,aft_stays,night_stays,stays_labo,stays_sat,stays_sun,recency,discount
006dc9f24dbc9795ef0d283bd66cba28349704e9,1,1,1.085,0,1,0,1,0,0,59,0.0
006e5110aef0db68e0b99a1174ac5adabe71d390,1,1,0.3333333333333333,0,0,1,1,0,0,63,0.0
007018a3e0e6c4b2822229a63886ed7dc336bb2e,1,0,0.4597222222222222,0,1,0,1,0,0,47,0.0
0070b0fb00375332300e01ad5a4aa34d0cf6ae31,2,2,0.24416666666666664,1,1,0,2,0,0,57,0.0
0070f9f808b9ba010ea998f1d85d4b725037e887,1,1,1.2897222222222222,0,1,0,1,0,0,67,0.0
0076099d11a0a98fdc843623c4387dadcd89fd44,1,1,2.91,1,0,0,1,0,0,47,0.0
00776568cd6bd1a10037b3ecb332e065f480803d,1,1,0.7111111111111111,1,0,0,1,0,0,52,0.0
007996d55ea25150dbe5f6a2bdbd40a7b04f0a8a,1,1,0.2680555555555555,1,0,0,1,0,0,46,0.0
0079ce57f04688bcd68d2052b9ff8b3a3522a109,21,0,7.1939417989417995,20,1,0,21,0,0,40,0.0
007d5718798227a74b8fda469ae7c27effe192b8,1,1,2.4163888888888887,1,0,0,0,1,0,63,0.0
007d6d72cbe95b039b3ead860a37b1683412acd0,3,3,0.5942592592592593,3,0,0,3,0,0,40,103.33333333333331
008080d16731dfd1811e0027689910a66949a0ee,2,2,0.3148611111111111,1,1,0,0,2,0,49,0.0
0083d52c35ea31a36729addbe49ee9b298618e94,1,1,1.2033333333333334,1,0,0,1,0,0,64,200.0
00841f21115221773f94aefb4e20e31eac752859,1,1,4.719444444444443,0,1,0,1,0,0,60,0.0
0084c0c0bf2266ed1d04cb36615f13e1e6f04d1b,1,1,0.5788888888888889,1,0,0,1,0,0,57,0.0
00876c5fa29acc3867fd52cac547da7900554dc5,1,1,1.8602777777777777,0,1,0,1,0,0,57,0.0
00886b81b37f6453f55e9575799ce0751c189d41,2,2,8.061111111111114,2,0,0,2,0,0,43,0.0
00893b07f0d0f44ff453be8361491e4a00f505e4,1,0,2.9630555555555564,1,0,0,1,0,0,51,0.0
008a93da9fe610f8106e8d46f41b7f5df6de1302,1,0,3.670833333333333,0,1,0,1,0,0,66,0.0
008bcd7a2103c1ad8dec8ec78a724f5cc47be17d,1,1,4.863333333333333,1,0,0,0,1,0,42,0.0
008c3d880c072104711342dabca768569097b73c,1,1,1.3563888888888889,0,1,0,1,0,0,52,0.0
008cf54487b3981ba42bd436b99564c17bbff492,1,1,0.6330555555555556,0,1,0,1,0,0,44,0.0
0090330edee856586bb84e28adda2d3853f675b4,1,1,1.3433333333333333,1,0,0,1,0,0,64,0.0
0090d44e0527f33ca01c1be22db920d0f8343942,5,0,1.9086666666666663,4,1,0,5,0,0,40,0.0
00937e4e2fb50061a659f2fa08480c9f07c010a9,1,0,1.5663888888888888,1,0,0,1,0,0,67,0.0
0094197ffba2e151e7e11a19c921e3e24f700c7d,1,1,1.7838888888888889,0,0,1,0,0,1,55,0.0
0094abb06a132d801b6daca0acb83589c46c4e8e,2,2,0.8140277777777778,2,0,0,2,0,0,44,0.0
009508f6aba869cbdfa8981480cf021f73a3db9b,2,2,1.0511111111111109,1,1,0,2,0,0,54,0.0
00996681f26ad88f056a869b3afba0b7e0a7a017,1,1,1.5205555555555557,0,1,0,0,0,1,62,200.0
009a09a0c806c7016c97f44bcd9c136b1296a0d1,1,1,0.8691666666666666,1,0,0,1,0,0,43,0.0
009af2ce6108d8ef4415c4a5a43700fe5c248141,1,1,1.7025,1,0,0,0,1,0,63,0.0
009baf32d68f1f4faf6cd115cfc914058f4f4ace,1,1,1.2197222222222222,0,1,0,0,1,0,56,200.0
009c1520cd22ced4db6f6b20fac31b8b88cde851,1,0,2.2838888888888893,1,0,0,1,0,0,43,0.0
009cc1e29d684a022b1b5e4fa16e375953154ab4,5,0,3.7483333333333335,5,0,0,5,0,0,45,0.0
009d7f48c3a0924b2d922ec13ce0cccc1ca1c7ab,2,2,1.4088888888888893,0,2,0,2,0,0,51,0.0
009e4d6365566479a9c0364b1092383fe9e0549f,1,1,0.4330555555555556,1,0,0,1,0,0,51,70.0
009ee76f5b068d861c7a84c1f0c6047b3e7dd8da,1,1,0.6494444444444445,0,1,0,0,1,0,42,115.0
009f4bbcad517aae58e1730ec0f98904fa169003,1,0,11.231111111111113,0,0,1,0,1,0,49,0.0
00a19bc9fa760bc40128c0786e84d0b53bbcb08f,4,1,4.057569444444445,3,1,0,1,0,3,41,0.0
00a263c17bb01898a9296b2e82ae00bd5332966e,1,0,0.6925,1,0,0,1,0,0,52,0.0
00a27503736ecc13e701afc0bbd0d4f8fdd39b67,1,0,1.4494444444444443,1,0,0,1,0,0,52,0.0
00a38a67b7076d993bd7220066c64a96ad2c71b0,1,1,2.9980555555555566,1,0,0,0,1,0,49,0.0
00a4778a732031154aa3e0df262a282444cc8b19,1,1,1.0597222222222222,1,0,0,1,0,0,43,0.0
00a7d93485f1660373e130c2a2373ddf9dcb6edb,1,0,21.21444444444445,0,0,1,0,1,0,41,0.0
00a9134c3bcb58fa76116625a2f28684ab0e484e,1,1,1.7391666666666667,1,0,0,1,0,0,67,0.0
00aca252cc41a6ee54bfff442c268c679b049486,1,1,3.0169444444444444,0,1,0,1,0,0,64,0.0
00adcb6fb1fe902203708b49f0565940b4c3471a,1,0,1.4458333333333333,0,1,0,1,0,0,60,0.0
00af2f4bc5b9a9625c44adc73851f24aae5173fb,1,1,0.3652777777777777,1,0,0,1,0,0,59,65.0
00af336a6cbc01329a20ea64016804156868754e,1,1,0.9186111111111112,0,1,0,1,0,0,50,0.0
00af55b6c707933dd69768651f67a0bad741655b,1,1,0.6530555555555555,1,0,0,1,0,0,66,0.0
00b0324ec610c758beff3f9be3f08a3d373da768,2,2,0.465,1,1,0,1,1,0,40,57.5
00b2cb6790d6eee56ebbb800d4694c035ace70f0,1,1,0.0663888888888888,0,1,0,0,0,1,55,0.0
00b37d8ff493b3557ec627f71fbe6bb989e74c1f,4,1,0.96375,0,4,0,4,0,0,40,0.0
00b6235a04ecf1c6eb0cb140ce408497c00dc5ff,3,3,10.537870370370367,3,0,0,3,0,0,46,66.66666666666667
00b8a4d0fef5888e1c928285ff708242dc55a0ba,2,2,6.331944444444442,2,0,0,2,0,0,58,0.0
00b8b364cc9ae25810e34a4905073d7a2ae8e6e6,1,1,7.567222222222222,1,0,0,0,1,0,49,0.0
00bb0a10fa51a8489714ffc76be49942b042cc40,1,1,2.6575,0,1,0,0,1,0,42,0.0
00be3bc076e26bae399f7fd0f55638d0f810ecc5,1,1,0.1763888888888889,0,1,0,1,0,0,51,0.0
00be9e1322f32f85a5d3fc651b6f06a08f69d28a,1,1,0.3952777777777778,0,1,0,0,1,0,49,70.0
00bec5ad87b344e8aea86a22f6770a9b59ae71ac,1,0,0.7122222222222222,1,0,0,1,0,0,64,0.0
00c1370bd421efe9d435e4c8f9332de71be4bed7,3,3,1.0546296296296296,2,1,0,2,1,0,42,0.0
00c8e7d92ee88d8f32d937ebd7fb651980a2b652,2,2,1.4354166666666668,2,0,0,2,0,0,45,50.0
00cad55257bdb64fa6b17b9499ca77758944a1b0,3,3,2.8898148148148146,2,1,0,3,0,0,46,0.0
00cca1d83a86a8d6e3dda7c2f6195dbe17e05b8a,3,3,2.2137962962962963,2,1,0,3,0,0,44,200.0
00ccd261fe6f5ff980d666eeb188726c6dbeda0d,2,2,2.0454166666666658,0,2,0,2,0,0,50,0.0
00cd9da054f539682ea0b3683a00e746cdb7a92d,2,2,0.8247222222222224,1,1,0,1,0,1,59,0.0
00ce1742ff8249d29e66f5823f676e72319455bf,1,0,0.4233333333333333,0,0,1,1,0,0,46,0.0
00ce8e54f97641637dfd1675621804c4116feeba,1,1,1.2752777777777775,1,0,0,1,0,0,60,0.0
00cf07146b1008a4c40365f5f77fe668ede3d94f,9,9,6.466759259259257,6,3,0,8,1,0,44,0.0
00cf680d01a8fa712fcc8f431af919b48fb86550,2,1,1.3530555555555557,0,2,0,1,1,0,58,0.0
